Item,Quantity,Cost (USD),Link
BTT Manta M8P V2.0,1,$85,https://www.amazon.com/gp/product/B0CHFJYM5N/ref=ox_sc_act_image_10?smid=A2K1WYI5NZ8QSW&th=1
BTT CB2 Compute Module,1,$35,https://www.amazon.com/BIGTREETECH-Control-Storage-Compatible-Raspberry-Pi/dp/B0D1VDN356/ref=sr_1_3_sspa?crid=3RV8A921RN4N8&dib=eyJ2IjoiMSJ9.Kkdf40_xD1FG79ApkoSUCsQBtjgXrEIfp7-9cqAoLAM.LQFKB1a2lOmcuEa9NeCq50ecQME1FdC_YibMdqriWtA&dib_tag=se&keywords=BTT%2BCB2%2BCompute%2BModule&qid=1780685908&s=industrial&sprefix=btt%2Bcb2%2Bcompute%2Bmodule%2Cindustrial%2C365&sr=1-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
BTT EBB36 CAN Toolhead Board,4,$100,https://www.amazon.com/BIQU-MAX31865-Filament-Blockage-Detection/dp/B0B1MFXGTZ/ref=sr_1_4_sspa?crid=3RV8A921RN4N8&dib=eyJ2IjoiMSJ9.Kkdf40_xD1FG79ApkoSUCsQBtjgXrEIfp7-9cqAoLAM.LQFKB1a2lOmcuEa9NeCq50ecQME1FdC_YibMdqriWtA&dib_tag=se&keywords=BTT%2BCB2%2BCompute%2BModule&qid=1780685908&s=industrial&sprefix=btt%2Bcb2%2Bcompute%2Bmodule%2Cindustrial%2C365&sr=1-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1
UTOC-3 USB-CAN Adapter,1,$20,https://www.amazon.com/FYSETC-STM32F072-Interface-Candlelight-Firmware-Pack/dp/B0BPY5HY6C/ref=sr_1_1?crid=E8I2QCJ6X428&dib=eyJ2IjoiMSJ9.haWKPk4AHAfuD48n2bINndMYuAdWyL5QYbk2-cx0o6m0JNBqwzafkGAHofZsqMxAJHcF8B1-wuQZHrAShLCKR3pD5Y1t78k7UuIQOSwh5JLsHrLGLrg1Gag0zns0NeVo.od3cgRCaoLAytxrwRaXSqkOjPlrhpL--t-8XYYXikYs&dib_tag=se&keywords=UTOC-3+USB-CAN+Adapter&qid=1780685960&s=industrial&sprefix=utoc-3+usb-can+adapter%2Cindustrial%2C139&sr=1-1
Meanwell LRS-750-24 PSU,1,$55,https://www.amazon.com/MEAN-WELL-LRS-350-24-350-4W-Switchable/dp/B013ETVO12/ref=sr_1_1_mod_primary_new?crid=1WXZGPLC90UF4&dib=eyJ2IjoiMSJ9.8KwALn-ttoUFwpyq_iWQVVb9IyDZi9fpNNGcY036F1MY4YNlBwjW38ZnHopOz_eUEuJ71ScjhgilPx54-ZDsO_oAI5F6lwwcqeZcEacd4gN_eKe3FOHqjOepwrNz5cuJGtWuyyvAbOsZkVMuIYSfzKJFuJwLcoNV4iBD7csPaxmErNFXBv2I14odSci9ns_9-6MFYkVB6CrDzjKABNVciQnorRuDAnIPVuw2nlFpo_MEQ0R1ZeswSFpo6O2XvzQKrm_2YmVxf1p3WHKq3ZIWZ3jjEANWYjyoqAJ_trA6DH4.V4Z93NTgH3QLRB15e_oJGnR3SiAVzlvihMuuYZOgAHI&dib_tag=se&keywords=12v+24ohm+psu&qid=1780685985&s=industrial&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=12v+24ohm+psu%2Cindustrial%2C158&sr=1-1
5V Buck Converter,1,$8,https://www.amazon.com/LYLANMO-LM2596S-Adjustable-Converter-1-25-37V/dp/B0G84N2VWH/ref=sr_1_2_sspa?crid=3LE31T45T9HF6&dib=eyJ2IjoiMSJ9.R3eMEvf6w9rE23wNYOZUEHLGGUcU48BaXlefWoyZaTs0ZlfE1KZ1a7Tkdlnr_qnwY9SdxNMs0jfEBwwtW09etRyETTTcorMPms6fU5Jkk8w7NE6LoQaiFw2aq5UgKXXdyEHWryVXuhJ7w3aLFsjdfO_UFH2BQHiKlSb5wenv0TZNwF4pdBt3-HqFrHkdsA5EzT2kengtYS-yZ2CmpWncayM8H-6vYwOb3vjVYnuRwg1vLDZxW1FrvbhhGw4QF5_4gury9-waXxkl28akK5Snv4qB-LXFUc5RX1HUTyQ-2_s.8sSljtSbV_tGaTPMfbk-UYyBdRSP3lhJ5IGgPvTQ-4I&dib_tag=se&keywords=buck+converter&qid=1780685997&s=industrial&sprefix=buck+conver%2Cindustrial%2C653&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Wiring Terminal Board,1,$12,https://www.amazon.com/HUAREW-Breadboard-Jumper-Include-Points/dp/B09VKYLYN7/ref=sr_1_1_sspa?crid=35QYT1RD7K0U7&dib=eyJ2IjoiMSJ9.5Z5yTwL-oa1r18Ah_zf9OdziZtM7NtJzJKlf3z7Il1SfhzbbpyaLfDx_YoTfuRBttvpZzxQlaI137_DRjWbETZmyt-VCRpFFDJMMaexU9xZmgtQmVor92h4rTJ6gy_PTMqzMkM3FRNBD9q3yAKo244J0Jl2Nc6L2uK-_-OnOmjdYOhyctlbOD7v0kajCa_CjMST1ucg5LpH_6aWWRLmWupyZFLEpqH6EMYat4t3X8w1wS6n6NmoghheY2wXXITBuehEKQXnLQKEla9Tzzu8eMds2xqmtxEgyePRH_O_UAOY.XsR95REbRGiOyYEGlZL_yKEVpNq4lqsEerIjySqpM0E&dib_tag=se&keywords=breadboard&qid=1780686009&s=industrial&sprefix=buck+converter%2Cindustrial%2C334&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
2020/2040 Aluminum Extrusion,Assorted,$60,https://www.amazon.com/gp/product/B0GCF5TRL3/ref=ewc_pr_img_36?smid=A30WUG2ZDGM0XM&th=1
MGN12H Linear Rail,5,$65,https://www.amazon.com/gp/product/B0D3T527GR/ref=ewc_pr_img_14?smid=A31QZVWR40HWH8&th=1
Gates 2GT Belt + Pulleys,1 Set,$35,https://www.amazon.com/gp/product/B0BYVF55S3/ref=ewc_pr_img_8?smid=AK64CGABQOWCO&psc=1
NEMA 17 Stepper Motor,5,$55,https://www.amazon.com/gp/product/B00QEYADRQ/ref=ewc_pr_img_20?smid=AWQBCGWISS7BL&psc=1
Leadscrew + Brass Nut,2,$25,https://www.amazon.com/gp/product/B0BXH8BXR7/ref=ewc_pr_img_30?smid=A1IRK3JDZ203K8&th=1
Idlers + Hardware Kit,1 Set,$20,https://www.amazon.com/gp/product/B0BYVF55S3/ref=ewc_pr_img_8?smid=AK64CGABQOWCO&psc=1
TZ V6 Hotend,4,$100,https://www.amazon.com/gp/product/B0DNS7RWF1/ref=ewc_pr_img_6?smid=AY0CALBZ595FU&th=1
Orbiter v2 Extruder,4,$140,https://www.amazon.com/gp/product/B0C3QGKQY6/ref=ewc_pr_img_4?smid=A17REXMFA4MBN8&psc=1
5015 Blower Fan,4,$24,https://www.amazon.com/gp/product/B0DLKJ7WDJ/ref=ewc_pr_img_3?smid=A235LT0EDLFSAR&th=1
3010 Hotend Fan,4,$16,https://www.amazon.com/gp/product/B0CPT5YPS3/ref=ewc_pr_img_2?smid=A3D10LQA9ZV0ET&th=1
Dock Brackets (Printed),4,$5,
Steel Kinematic Ball Dock(printed),4,$15,
